# See gridqc1.rms12.0.1 @jriv
# From RMS 12.0.1 IPL. These are center cell points for gridqc1 grid
# and GetCellIndices in IPL reports coordinates are inside grid with same IJK
I,J,K,X,Y,Z
7,1,3,534320.421875,6708756.5,2259.36791992
8,1,3,534575.859375,6708906,2053.29370117
9,1,3,534831.21875,6709055.5,1836.32641602
1,2,3,533012.6875,6707469.875,2191.65844727
2,2,3,533268.078125,6707619.125,2209.85302734
3,2,3,533523.5625,6707768.5,2237.23510742
4,2,3,533779.09375,6707917.875,2274.75683594
5,2,3,534034.671875,6708067.25,2305.97851563
6,2,3,534290.265625,6708216.75,2270.86181641
7,2,3,534545.828125,6708366.25,2089.9362793
8,2,3,534801.328125,6708515.75,1841.89001465
9,2,3,535056.765625,6708665.25,1663.94226074
1,3,3,533237.734375,6707080.125,2224.62084961
2,3,3,533493.15625,6707229.375,2239.51245117
3,3,3,533748.671875,6707378.75,2248.11450195
4,3,3,534004.265625,6707528.125,2248.31518555
5,3,3,534259.921875,6707677.375,2220.27099609
6,3,3,534515.578125,6707826.75,2089.57910156
7,3,3,534771.203125,6707976.25,1867.06713867
8,3,3,535026.765625,6708125.75,1656.84643555
9,3,3,535282.265625,6708275.125,1624.10668945
1,4,3,533462.765625,6706690.375,2217.3059082
2,4,3,533718.21875,6706839.625,2196.97875977
3,4,3,533973.765625,6706988.875,2165.27148438
4,4,3,534229.421875,6707138.25,2113.6574707
5,4,3,534485.140625,6707287.625,2032.22583008
6,4,3,534740.859375,6707436.875,1881.67651367
7,4,3,534996.546875,6707586.25,1684.49829102
8,4,3,535252.1875,6707735.625,1637.4864502
9,4,3,535507.765625,6707884.875,1627.93579102
1,5,3,533687.796875,6706300.625,2148.65893555
2,5,3,533943.265625,6706449.875,2087.05224609
6,5,3,534966.125,6707047,1742.29663086
7,5,3,535221.890625,6707196.25,1662.92199707
8,5,3,535477.609375,6707345.5,1644.61132813
9,5,3,535733.265625,6707494.625,1636.32800293
2,6,3,534168.3125,6706060.125,1978.63183594
3,6,3,534423.953125,6706209.375,1908.85351563
4,6,3,534679.703125,6706358.625,1841.44042969
5,6,3,534935.515625,6706507.875,1766.43933105
6,6,3,535191.375,6706657,1704.10742188
7,6,3,535447.234375,6706806.25,1681.72827148
8,6,3,535703.046875,6706955.5,1661.12231445
9,6,3,535958.765625,6707104.5,1651.60424805
1,7,3,534137.84375,6705521.125,1887.98937988
2,7,3,534393.359375,6705670.375,1843.00683594
3,7,3,534649.046875,6705819.5,1785.99707031
4,7,3,534904.859375,6705968.75,1752.9901123
5,7,3,535160.734375,6706118,1724.59191895
6,7,3,535416.65625,6706267,1716.10192871
7,7,3,535672.59375,6706416.125,1699.46044922
8,7,3,535928.484375,6706565.25,1679.92114258
9,7,3,536184.28125,6706714.25,1668.58398438
1,8,3,534362.859375,6705131.375,1771.38818359
2,8,3,534618.40625,6705280.625,1753.92565918
3,8,3,534874.140625,6705429.75,1733.57543945
4,8,3,535130.015625,6705578.875,1735.72192383
5,8,3,535385.953125,6705728,1732.44995117
6,8,3,535641.953125,6705877,1724.56347656
7,8,3,535897.96875,6706026,1709.62609863
8,8,3,536153.921875,6706175,1694.67041016
9,8,3,536409.796875,6706323.875,1684.15686035
1,9,3,534587.90625,6704741.625,1762.12963867
2,9,3,534843.484375,6704890.875,1749.81420898
3,9,3,535099.25,6705040,1748.28955078
4,9,3,535355.171875,6705189,1746.81030273
5,9,3,535611.1875,6705338,1740.20788574
6,9,3,535867.265625,6705487,1730.45471191
7,9,3,536123.359375,6705636,1719.09765625
8,9,3,536379.40625,6705784.875,1708.28161621
9,9,3,536635.359375,6705933.625,1697.52099609
1,10,3,534812.96875,6704351.875,1758.83374023
2,10,3,535068.578125,6704501,1757.32409668
3,10,3,535324.390625,6704650,1755.69848633
4,10,3,535580.375,6704799,1753.17468262
5,10,3,535836.484375,6704948,1745.79199219
6,10,3,536092.640625,6705096.875,1737.81799316
7,10,3,536348.8125,6705245.75,1729.81530762
8,10,3,536604.953125,6705394.5,1720.23168945
9,10,3,536860.984375,6705543.25,1712.57580566
1,1,4,532787.59375,6707859.625,2173.92651367
2,1,4,533042.96875,6708008.875,2191.38891602
3,1,4,533298.421875,6708158.25,2218.69604492
4,1,4,533553.890625,6708307.75,2258.0012207
5,1,4,533809.390625,6708457.25,2304.15185547
6,1,4,534064.921875,6708606.875,2330.27929688
7,1,4,534320.421875,6708756.5,2262.39916992
8,1,4,534575.859375,6708906,2056.66430664
9,1,4,534831.21875,6709055.5,1838.22851563
1,2,4,533012.6875,6707469.875,2202.11279297
2,2,4,533268.078125,6707619.125,2218.89208984
3,2,4,533523.5625,6707768.5,2244.49584961
4,2,4,533779.09375,6707917.875,2280.15039063
5,2,4,534034.671875,6708067.25,2309.57617188
6,2,4,534290.265625,6708216.75,2272.93530273
7,2,4,534545.828125,6708366.25,2091.29101563
8,2,4,534801.328125,6708515.75,1842.69665527
9,2,4,535056.765625,6708665.25,1664.04797363
1,3,4,533237.734375,6707080.125,2234.60888672
2,3,4,533493.15625,6707229.375,2246.51318359
3,3,4,533748.671875,6707378.75,2252.07397461
4,3,4,534004.265625,6707528.125,2250.86523438
5,3,4,534259.921875,6707677.375,2222.31591797
6,3,4,534515.578125,6707826.75,2091.12133789
7,3,4,534771.203125,6707976.25,1867.68286133
9,3,4,535282.265625,6708275.125,1634.2277832
1,4,4,533462.765625,6706690.375,2222.35058594
2,4,4,533718.21875,6706839.625,2199.52636719
4,4,4,534229.421875,6707138.25,2113.66992188
5,4,4,534485.140625,6707287.625,2032.65808105
6,4,4,534740.859375,6707436.875,1882.30065918
7,4,4,534996.546875,6707586.25,1684.62402344
8,4,4,535252.1875,6707735.625,1647.77087402
9,4,4,535507.765625,6707884.875,1638.01647949
6,5,4,534966.125,6707047,1742.57861328
7,5,4,535221.890625,6707196.25,1671.92822266
8,5,4,535477.609375,6707345.5,1654.62158203
9,5,4,535733.265625,6707494.625,1646.24499512
